Código IBGE do Município;Nome do Município;Estado;ID da Estação;Nome da Estação;Item medido;Status da estação;Tipo da estação;Latitude;Longitude;no_fonte_dados;
2905701;Camaçari;BA;182;AREIAS;SO₂;Em Operação;Automática;-12,801148;-38,223966;CETREL e Inema;
2905701;Camaçari;BA;184;MACHADINHO;CH, CO, DV, NH₃, NO, NO₂, NOx, O₃, PRESS, RAD, SO₂, TEMP, U, VV;Em Operação;Automática;-12,756957;-38,284080;CETREL e Inema;
2905701;Camaçari;BA;185;CÂMARA;DV, NO, NO₂, NOx, O₃, SO₂, VV;Em Operação;Automática;-12,706030;-38,321377;CETREL e Inema;
2905701;Camaçari;BA;187;GRAVATÁ;CH, CH₄, CO, DV, ERT, HCT, MP₁₀, NH₃, NO, NO₂, NOx, PRESS, RAD, SO₂, TEMP, U, VV;Em Operação;Automática;-12,686376;-38,333604;CETREL e Inema;
2910057;Dias d'Ávila;BA;181;ESCOLA;CH, DV, ERT, NH₃, NO, NO₂, NOx, O₃, PRESS, SO₂, TEMP, U, VV;Em Operação;Automática;-12,635318;-38,273178;CETREL e Inema;
2910057;Dias d'Ávila;BA;183;CONCÓRDIA;DV, ERT, MP₁₀, NO, NO₂, NOx, SO₂, VV;Em Operação;Automática;-12,604052;-38,325606;CETREL e Inema;
2910057;Dias d'Ávila;BA;186;FUTURAMA I;ERT, SO₂;Em Operação;Automática;-12,668989;-38,371572;CETREL e Inema;
2910057;Dias d'Ávila;BA;188;LEANDRINHO;CH₄, DV, ERT, HCT, MP₂,₅, MP₁₀, NO, NO₂, NOx, SO₂, VV;Em Operação;Automática;-12,641589;-38,374871;CETREL e Inema;
2910057;Dias d'Ávila;BA;190;COBRE;SO₂;Em Operação;Automática;-12,630256;-38,358528;CETREL e Inema;
2929503;São Sebastião do Passé;BA;189;LAMARÃO;CH, DV, ERT, NO, NO₂, NOx, O₃, PRESS, RAD, SO₂, TEMP, U, VV;Em Operação;Automática;-12,595482;-38,398561;CETREL e Inema;
3105707;Barra Longa;MG;88; Volta da Capela;MP₂,₅, MP₁₀, PTS;Em Operação;Automática;-20,287764;-43,054911;Fundação Estadual do Meio Ambiente - FEAM;
3105707;Barra Longa;MG;93; Gesteira;MP₂,₅, MP₁₀;Em Operação;Automática;-20,257208;-43,124397;Fundação Estadual do Meio Ambiente - FEAM;
3105707;Barra Longa;MG;99; Barra Longa Centro;MP₂,₅, MP₁₀, PTS;Em Operação;Automática;-20,282569;-43,040342;Fundação Estadual do Meio Ambiente - FEAM;
3106200;Belo Horizonte;MG;71;PUC Barreiro;CO, MP₂,₅, MP₁₀;Em Operação;Automática;-19,976002;-44,025094;Fundação Estadual do Meio Ambiente - FEAM;
3106200;Belo Horizonte;MG;72;PUC São Gabriel;CO, MP₂,₅, MP₁₀;Em Operação;Automática;-19,858020;-43,918451;Fundação Estadual do Meio Ambiente - FEAM;
3106200;Belo Horizonte;MG;73;Centro Av. do Contorno;CO, MP₂,₅, MP₁₀;Em Operação;Automática;-19,913322;-43,935744;Fundação Estadual do Meio Ambiente - FEAM;
3106705;Betim;MG;68;Centro Administrativo Betim;CO, MP₂,₅, MP₁₀;Em Operação;Automática;-19,968933;-44,207222;Fundação Estadual do Meio Ambiente - FEAM;
3106705;Betim;MG;69;Petrovale;CO, MP₂,₅, MP₁₀;Em Operação;Automática;-19,994425;-44,111125;Fundação Estadual do Meio Ambiente - FEAM;
3106705;Betim;MG;74;Alterosa;CO, MP₂,₅, MP₁₀;Em Operação;Automática;-19,947573;-44,160850;Fundação Estadual do Meio Ambiente - FEAM;
3109006;Brumadinho;MG;94;Estação Parque da Cachoeira;MP₂,₅, MP₁₀, PTS;Em Operação;Automática;-20,144450;-44,157889;Fundação Estadual do Meio Ambiente - FEAM;
3109006;Brumadinho;MG;95;Estação E.M. Pe. Vicente Assunção;MP₂,₅, MP₁₀, PTS;Em Operação;Automática;-20,147897;-44,199894;Fundação Estadual do Meio Ambiente - FEAM;
3109006;Brumadinho;MG;103; Comunidade do Feijão;MP₂,₅, MP₁₀, PTS;Em Operação;Automática;-20,135869;-44,108942;Fundação Estadual do Meio Ambiente - FEAM;
3117504;Conceição do Mato Dentro;MG;77;Aeroporto CMD;MP₂,₅, MP₁₀, PTS;Em Operação;Automática;-19,021111;-43,434119;Fundação Estadual do Meio Ambiente - FEAM;
3117504;Conceição do Mato Dentro;MG;78;Córregos;MP₂,₅, MP₁₀, PTS;Em Operação;Automática;-18,885847;-43,501547;Fundação Estadual do Meio Ambiente - FEAM;
3117504;Conceição do Mato Dentro;MG;79;Sapo;MP₂,₅, MP₁₀, PTS;Em Operação;Automática;-18,925000;-43,399639;Fundação Estadual do Meio Ambiente - FEAM;
3118007;Congonhas;MG;76;Jardim Profeta;MP₁₀, PTS;Em Operação;Automática;-20,521019;-43,829539;Fundação Estadual do Meio Ambiente - FEAM;
3118007;Congonhas;MG;80;Lobo Leite;CO, MP₂,₅, MP₁₀, PTS;Em Operação;Automática;-20,518611;-43,795556;Fundação Estadual do Meio Ambiente - FEAM;
3118007;Congonhas;MG;92;Novo Plataforma;MP₂,₅, MP₁₀, PTS;Em Operação;Automática;-20,488561;-43,861511;Fundação Estadual do Meio Ambiente - FEAM;
